Id,Name,Date established,Date ceased,Function,Committee type,Earlier committees,Later committees
C001,Appropriations and Staffing,25/03/1982,24/03/2015,"Created as a response to the recommendations of the 1981 Select Committee on Parliament’s Appropriations and Staffing, the Standing Committee on Appropriations and Staffing determined the proposed spending for the Senate and advised the President on staffing matters of the Department of the Senate.",Domestic,C153,C002
C002,"Appropriations, Staffing and Security",25/03/2015,,"The Standing Committee on Appropriations, Staffing and Security determines the proposed spending for the Department of the Senate to be included in the parliamentary appropriations bill, oversees the department’s organisational structure and considers the administration, operation and funding of security measures affecting the Senate.",Domestic,C001,""
C003,Elections and Qualifications,6/06/1901,2/09/1903,"The committee considered questions concerning the eligibility of senators, vacancies arising in the Senate and disputed elections. The Senate referred only one case to the committee, in 1901.",Domestic,"",C004
C004,Disputed Returns and Qualifications,3/09/1903,22/09/1987,"The committee was established to inquire into the qualifications of senators, although electoral legislation moved many of these functions to the High Court in 1907. The Senate referred only one case to the committee, in 1907. The committee was reappointed to deal with matters outside the electoral law until its abolition in 1987.",Domestic,C003,""
C005,House,6/06/1901,,The House Committee monitors the provision of facilities and services in Parliament House. The committee is empowered to meet jointly with the House of Representatives' House Committee.,Domestic,"",""
C006,Library,6/06/1901,,"The Library Committee considers matters relating to the provision of library services to senators. The committee functioned as a joint committee, meeting with its House of Representatives counterpart until the establishment of a joint standing committee, with identical Senate membership, in 2008. Members of the joint standing committee are taken to be appointed to the Senate committee as well.",Domestic,"",""
C007,Printing,6/06/1901,11/06/1970,The Printing Committee decided which documents were to be printed in the Parliamentary Paper Series. In 1901 the Senate Printing Committee was authorised to sit with the Printing Committee of the House of Representatives.,Domestic,"",C008
C008,Publications,12/06/1970,,The Publications Committee considers matters relating to the publication and distribution of tabled documents including documents for inclusion in the Parliamentary Paper Series and publishing guidelines for reports presented to parliament. The committee has additional powers of inquiry when sitting as a joint committee with its House of Representatives counterpart.,Domestic,C007,""
C009,Standing Orders,5/06/1901,21/09/1987,The Standing Orders Committee considered proposals for reform of the conduct of the Senate’s business and proceedings. The committee was origionally established to recommend temporary and then permanent standing orders to govern the procedures of the Senate and between 1901 and 1903 acted as an ad hoc committee.,Domestic,"",C010
C010,Procedure,22/09/1987,,"The Procedure Committee evaluates and recommends improvements to the procedures of the Senate, as referred to it by the Senate or President of the Senate.",Domestic,C009,""
C011,Selection of Bills,5/12/1989,,"Established in response to a recommendation of the Select Committee on Legislation Procedures in 1988, the Selection of Bills Committee makes recommendations for the referral of bills to standing committees including which committee, at what stage and for how long. The committee includes the government, opposition and smaller party whips.",Domestic,"",""
C012,Senators’ Interests,17/03/1994,,"The Senators' Interests Committee considers and inquires into matters relating to the compilation, maintenance and accessibility of a Register of Senators’ Interests. The register contains declarations of senators' financial interests and gifts. The committee also maintains a Register of Senatorsʼ Qualifications relating to sections 44 and 45 of the Constitution.",Domestic,"",""
C013,Privileges,2/12/1965,,The Committee of Privileges protects the integrity of Senate and committee proceedings by inquiring into matters referred to it by the Senate that may have impeded the proper operation of the Senate or a committee.,Domestic,"",""
C014,Regulations and Ordinances,11/03/1932,3/12/2019,"The Standing Committee on Regulations and Ordinances considered and reported on legislative instruments to ensure that they were in accordance with statute and did not unduly trespass on personal rights and liberties, make administrative decisions not subject to independent review or contain matters better dealt with in an Act of parliament.",Legislative scrutiny,"",C251
C015,Scrutiny of Bills,19/11/1981,,"The committee examines the clauses of all bills introduced into parliament to determine whether they trespass unduly on personal rights and liberties, contain provisions dependent on insufficiently defined administrative powers or non-reviewable decisions, inappropriately delegate legislative powers or are insufficiently subject to parliamentary scrutiny.",Legislative scrutiny,"",""
C016,Social Environment,11/06/1970,11/11/1975,"The Standing Committee on Social Environment inquired into housing, transport, communications and environmental matters. When the committee terminated after the 1975 election, the unfinished reference on the environmental conditions of Aborigines and Torres Strait Islanders and the preservation of their sacred sites was referred to a select committee.",Legislative and General Purpose Standing,"","C045,C150"
C017,Health and Welfare,11/06/1970,11/11/1975,Health and Welfare Committee was the first Legislative and General Purpose Standing Committee established by the Senate. Its inquiry into disability services was the first of many ground-breaking examinations of matters of national significance. The committee also examined annual reports and petitions relating to health and social welfare.,Legislative and General Purpose Standing,"",C018
